ID,Language_ID,Headword,Part_Of_Speech,Segments,Sound_Classes,Character,Middle Chinese,Old_Chinese,Middle_Chinese_Readings,Old_Chinese_Readings,Glosses,Example_IDS
,OldChinese,,,,,,,,*m-riŋ-s,mjaengH,order / mandate / order ,ad-7-47 ad-7-49 ad-8-58 ad-18-153 ad-31-283 ad-34-306 ad-35-314
,OldChinese,,,,,,,,*[kə.l]ˤuʔ,dawX,way,ad-7-48 ad-7-53 ad-24-209 ad-25-224 ad-29-266 ad-33-295 ad-36-323 ad-36-325 ad-38-337 ad-38-339 ad-40-350 ad-43-385 ad-44-388 ad-45-397
,OldChinese,,,,,,,,*tʰəŋ,tsyhing,denomination,ad-7-48 ad-7-51 ad-7-53
word-120,OldChinese,沒,,,,沒,,*mˤut,*mˤut,mwot / (dring),extinguish,ad-7-48
word-121,OldChinese,身,,,,身,,*n̥i[ŋ],*n̥i[ŋ],syin,body,ad-7-48
word-122,OldChinese,就,,,,就,,*[dz]u[k]-s,*[dz]u[k]-s,dzjuwH,go,ad-7-48
word-123,OldChinese,世,,,,世,,*l̥ap-s,*l̥ap-s,syejH,era,ad-7-48
,OldChinese,,,,,,,,*[ɢ](r)Ak / ! *ɢ(r)Ak,yek / //,conjunction / also,ad-7-49 ad-45-395 ad-45-397 ad-45-397 ad-45-400 ad-46-402
,OldChinese,,,,,,,,*[g]ˤi[n],hen,sage,ad-7-51 ad-21-186
word-124,OldChinese,曷,,,,曷,,*[g]ˤat,*[g]ˤat,hat,how,ad-7-52
,OldChinese,,,,,,,,*p[u]t / ! *put / *put,pjut,negative adverb,ad-7-52 ad-7-54 ad-29-261 ad-29-262 ad-30-274 ad-37-329
,OldChinese,,,,,,,,*tˤək,tok,obtain,ad-7-52 ad-45-398
,OldChinese,,,,,,,,*[g]ˤat,hat,how,ad-7-54
word-125,OldChinese,顯,,,,顯,,*qʰˤenʔ,*qʰˤenʔ,xenX,apparent,ad-7-56
,OldChinese,,,,,,,,*[ts]ˤə,tsoj / //,modal particle,ad-7-56
word-126,OldChinese,吾,,,,吾,,*ŋˤa,*ŋˤa,ngu,I,ad-8-57
