ID,Language_ID,Headword,Part_Of_Speech,Segments,Sound_Classes,Character,Middle Chinese,Old_Chinese,Middle_Chinese_Readings,Old_Chinese_Readings,Glosses,Example_IDS
,OldChinese,,,,,,,,*[ts]aŋ,tsjang,aspectual marker / conduct / general,ad-18-155 ad-26-232 ad-30-271 ad-32-285 ad-34-302 ad-34-311 ad-35-313 ad-35-316 ad-37-329
,OldChinese,,,,,,,,*[t.qʰ](r)A,tsyhae,chariot,ad-18-155 ad-18-155 ad-34-305 ad-35-312 ad-39-345
word-268,OldChinese,徒,,,,徒,,*[d]ˤa,*[d]ˤa,du,infantry,ad-18-156
,OldChinese,,,,,,,,*[d]ˤa,du,infantry,ad-18-156
word-269,OldChinese,死,,,,死,,*sijʔ,*sijʔ,sijX,die,ad-18-157
word-270,OldChinese,足以,,,,足以,,*[ts]ok-s // *ləʔ,*[ts]ok-s / *ləʔ,tsjuH / yiX,sufficient,ad-18-159
,OldChinese,,,,,,,,*ɢˤa,hu / //,modal particle,ad-18-159 ad-26-227 ad-26-237 ad-27-246 ad-28-256 ad-29-266 ad-33-295 ad-36-325 ad-38-339 ad-43-379
,OldChinese,,,,,,,,*kˤrək-s,keajH,warn,ad-19-161 ad-37-328
,OldChinese,,,,,,,,*l̥əŋ,sying,win ,ad-19-161 ad-19-162 ad-19-163 ad-23-203 ad-36-319
word-271,OldChinese,怠,,,,怠,,*lˤəʔ,*lˤəʔ,dojX,laziness,ad-19-161
word-272,OldChinese,果,,,,果,,*[k]ˤo[r]ʔ,*[k]ˤo[r]ʔ,kwaX,solve,ad-19-162
word-273,OldChinese,疑,,,,疑,,*[ŋ](r)ə,*[ŋ](r)ə,ngi,doubt,ad-19-162
word-274,OldChinese,親,,,,親,,*[tsʰ]i[n],*[tsʰ]i[n],tshin,personally,ad-19-163
word-275,OldChinese,使,,,,使,,! *s-rəʔ-s // *s-rəʔ *ni[ŋ],! *s-rəʔ-s / *s-rəʔ *ni[ŋ],sriX / sriH / // / nyin,envoy,ad-19-163
,OldChinese,,,,,,,,*[tsʰ]i[n],tshin,parent / personally,ad-19-164 ad-19-169 ad-20-175 ad-30-272 ad-42-371
,OldChinese,,,,,,,,*tˤur,// / twon / (twonH) / twoj,encourage,ad-19-164
word-276,OldChinese,輯,,,,輯,,*[dz][u]p,*[dz][u]p,dzip,concord,ad-19-165
word-277,OldChinese,義,,,,義,,*ŋ(r)aj-s,*ŋ(r)aj-s,ngjeH,righteous,ad-19-166
word-278,OldChinese,服,,,,服,,*[b]ək,*[b]ək,bjuwk,obey,ad-19-166
,OldChinese,,,,,,,,*[ɢ]ʷəʔ-s,hjuwH,conjunction,ad-19-167 ad-20-173 ad-20-176 ad-21-183 ad-26-236 ad-28-255 ad-29-265 ad-33-294 ad-36-324 ad-38-338 ad-40-351 ad-41-363 ad-42-373
,OldChinese,,,,,,,,*na / *[g]ˤaj,ha / nyo,how,ad-19-168 ad-21-177
word-279,OldChinese,憚,,,,憚,,*dˤar-s ,*dˤar-s ,danH,fear,ad-20-170
word-280,OldChinese,自,,,,自,,*s.[b]i[t]-s,*s.[b]i[t]-s,dzijH,reflexive pronoun,ad-20-170
word-281,OldChinese,勞,,,,勞,,*[r]ˤaw,*[r]ˤaw,law,work,ad-20-170
word-282,OldChinese,觀,,,,觀,,*C.qʷˤar,*C.qʷˤar,kwan,see,ad-20-171
word-283,OldChinese,上,,,,上,,*daŋʔ-s,*daŋʔ-s,dzyangH,superior,ad-20-171
word-284,OldChinese,下,,,,下,,*m-gˤraʔ-s,*m-gˤraʔ-s,haeH,inferior,ad-20-171
word-285,OldChinese,情,,,,情,,*[dz]eŋ,*[dz]eŋ,dzjeng,emotion,ad-20-171
word-286,OldChinese,偽,,,,偽,,! *N-ɢʷ(r)aj-s // *m-ɢʷ(r)aj-s,! *N-ɢʷ(r)aj-s / *m-ɢʷ(r)aj-s,ngjweH / //,false ,ad-20-171
word-287,OldChinese,匹夫,,,,匹夫,,*pʰi[t] // ! *ba // *[b]a // *p(r)a,*pʰi[t] / *[b]a / ! *ba / *p(r)a,// / bju / pju / phjit,common man,ad-20-172
word-288,OldChinese,寡婦,,,,寡婦,,*[C.k]ʷˤraʔ // *mə.bəʔ,*mə.bəʔ / *[C.k]ʷˤraʔ,kwaeX / bjuwX,widow,ad-20-172
word-289,OldChinese,獄訟,,,,獄訟,,*[ŋ]rok // *s.[ɢ]oŋ-s,*s.[ɢ]oŋ-s / *[ŋ]rok,zjowngH / ngjowk,process,ad-20-172
,OldChinese,,,,,,,,*n̥i[ŋ],syin,personally / body,ad-20-172 ad-25-223 ad-44-394
,OldChinese,,,,,,,,*tre,trje,know,ad-20-173 ad-43-384
word-290,OldChinese,足,,,,足,,*[ts]ok-s,*[ts]ok-s,tsjuH,sufficient,ad-20-173
word-291,OldChinese,中,,,,中,,*truŋ,*truŋ,trjuwng,moderation,ad-20-174
word-292,OldChinese,便,,,,便,,*[b]e[n],*[b]e[n],bjien,relatives,ad-21-179
word-293,OldChinese,兄,,,,兄,,*m̥raŋ,*m̥raŋ,xjwaeng,elder brother,ad-21-180
word-294,OldChinese,均,,,,均,,*C.qʷi[n],*C.qʷi[n],kjwin,even,ad-21-181
,OldChinese,,,,,,,,*truŋ,trjuwng,moderation / middle,ad-21-181 ad-29-260 ad-33-299
,OldChinese,,,,,,,,*ŋ(r)aj-s,ngjeH,righteous,ad-21-184 ad-22-194
,OldChinese,,,,,,,,*nˤə,noj,can / ability,ad-21-187 ad-22-189 ad-22-193
,OldChinese,,,,,,,,*C.lrə,dri,govern,ad-21-187 ad-22-189
,OldChinese,,,,,,,,! *s-rəʔ-s / *s-rəʔ,sriX / sriH / //,let / send,ad-22-188 ad-22-190 ad-24-207 ad-25-218 ad-25-219 ad-25-220 ad-25-221 ad-25-222 ad-32-289 ad-34-308 ad-35-318 ad-39-344 ad-39-345 ad-39-346 ad-39-347 ad-39-348
word-295,OldChinese,授,,,,授,,*[d]uʔ-s,*[d]uʔ-s,dzyuwH,teach,ad-22-191
word-296,OldChinese,智,,,,智,,*tre-s,*tre-s,trjeH,knowledge,ad-22-192
word-297,OldChinese,予,,,,予,,*laʔ,*laʔ,yo,grant to,ad-22-193
word-298,OldChinese,卒,,,,卒,,*[ts]ˤut // *[ts]ut,*[ts]ut / *[ts]ˤut,(tshwot) / tswit / tswot / //,servant,ad-22-196
word-299,OldChinese,帥,,,,帥,,*s-rut-s,*s-rut-s,srwijH / (srwit),leader,ad-22-197
,OldChinese,,,,,,,,*kˤaʔ-s / *[d]eʔ / ! *kˤa(ʔ)-s,dzyeX / kuH,conjunction,ad-23-200 ad-24-207 ad-28-253 ad-45-396
,OldChinese,,,,,,,,*[k]ʰˤa[j]ʔ,khaX,can,ad-23-200 ad-24-207
word-300,OldChinese,慎,,,,慎,,*[d]i[n]-s,*[d]i[n]-s,dzyinH,be careful,ad-23-200
,OldChinese,,,,,,,,*[ts]ut / *[ts]ˤut,(tshwot) / tswit / tswot / //,soldier / end,ad-23-201 ad-23-204 ad-32-287
word-301,OldChinese,恆,,,,恆,,*[g]ˤəŋ,*[g]ˤəŋ,hong,eternal,ad-23-201
,OldChinese,,,,,,,,*[dz][u]p,dzip,concord,ad-23-202 ad-42-369
word-302,OldChinese,嚴,,,,嚴,,*ŋ(r)am,*ŋ(r)am,ngjaem,imposing,ad-23-203
word-303,OldChinese,威,,,,威,,*ʔuj,*ʔuj,jw+j,authoritative,ad-23-203
,OldChinese,,,,,,,,*ɢ(r)ok,yowk,desire / want,ad-23-204 ad-38-336 ad-44-389
word-304,OldChinese,少,,,,少,,*[s.t]ewʔ,*[s.t]ewʔ,syewX,few,ad-23-204
word-305,OldChinese,氣,,,,氣,,*C.qʰəp-s,*C.qʰəp-s,khj+jH,energy,ad-23-204
,OldChinese,,,,,,,,*[t.l]ˤaj,ta,a lot / much,ad-23-204 ad-45-395
,OldChinese,,,,,,,,*[s.t]ewʔ,syewX,few,ad-23-205
word-306,OldChinese,易,,,,易,,! *lek // *lek-s,! *lek / *lek-s,yek / yeH / //,easy,ad-23-205
word-307,OldChinese,察,,,,察,,*[tsʰ]ˤret,*[tsʰ]ˤret,tsrheat,control,ad-23-205
,OldChinese,,,,,,,,*C.qʰəp-s,khj+jH,energy,ad-23-206
word-308,OldChinese,盛,,,,盛,,*[d]eŋ-s,*[d]eŋ-s,dzyengH	,abundant,ad-23-206
,OldChinese,,,,,,,,! *lek / *lek-s,yek / yeH / //,easy,ad-23-206
,OldChinese,,,,,,,,*m-kˤop,hop,unite,ad-23-206
,OldChinese,,,,,,,,*s-rut-s,srwijH / (srwit),lead / leader,ad-24-207 ad-34-311
word-309,OldChinese,倦,,,,倦,,*gron-s,*gron-s,gjwenH,tired,ad-24-207
,OldChinese,,,,,,,,*gron-s,gjwenH,tired,ad-24-208
,OldChinese,,,,,,,,*qʰˤenʔ,xenX,apparent,ad-24-209 ad-25-224
word-310,OldChinese,勿,,,,勿,,*mut,*mut,mjut,negative adverb,ad-24-210
,OldChinese,,,,,,,,*mut,mjut,negative adverb,ad-24-212
word-311,OldChinese,奚如,,,,奚如,,*[g]ˤe *na,*[g]ˤe *na,nyo / hej,how,ad-24-212
word-312,OldChinese,砥礪,,,,砥礪,,*tijʔ // *[r]at-s,*tijʔ / *[r]at-s,ljejH / tsyijX / (tsyeX),whetstone,ad-24-214
word-313,OldChinese,我,,,,我,,*ŋˤajʔ,*ŋˤajʔ,ngaX,I,ad-24-215
,OldChinese,,,,,,,,*tijʔ / *[r]at-s,ljejH / tsyijX / (tsyeX),whetstone,ad-24-215
,OldChinese,,,,,,,,*[k]ˤr[a]p,kaep,armour / weapon,ad-25-216 ad-25-217 ad-34-301 ad-34-305
word-314,OldChinese,堅,,,,堅,,*kˤi[ŋ],*kˤi[ŋ],ken,hard,ad-25-216
,OldChinese,,,,,,,,*ŋˤajʔ,ngaX,I,ad-25-217 ad-25-219 ad-25-221 ad-25-223
,OldChinese,,,,,,,,*kˤi[ŋ],ken,hard,ad-25-217
word-315,OldChinese,士,,,,士,,*[m-s-]rəʔ,*[m-s-]rəʔ,dzriX,dignitary,ad-25-218
word-316,OldChinese,進,,,,進,,*[ts][i][n]-s,*[ts][i][n]-s,tsinH,advance,ad-25-223
,OldChinese,,,,,,,,*m-[d]eŋ,dzyeng,complete,ad-25-226 ad-27-241
,OldChinese,,,,,,,,*qəʔ,hiX,modal particle,ad-25-226 ad-45-395 ad-45-400
,OldChinese,,,,,,,,*srij,srij,troop,ad-26-227 ad-26-235 ad-32-284
word-317,OldChinese,機,,,,機,,*kəj,*kəj,kj+j,crucial moment,ad-26-227
word-318,OldChinese,卑,,,,卑,,*pe,*pe,pjie,low rang,ad-26-232
,OldChinese,,,,,,,,*p(r)aʔ,pjuX,father,ad-26-233
,OldChinese,,,,,,,,*m̥raŋ,xjwaeng,elder brother,ad-26-233
,OldChinese,,,,,,,,*l[u],yuw,preposition,ad-26-234
word-319,OldChinese,御,,,,御,,*m-qʰ(r)aʔ,*m-qʰ(r)aʔ,ngjoX,conduct,ad-26-234
,OldChinese,,,,,,,,*kəj,kj+j,crucial moment,ad-26-235 ad-26-237 ad-27-244 ad-27-246 ad-28-252 ad-28-256 ad-29-264 ad-33-293
word-320,OldChinese,潛,,,,潛,,*[dz][a]m ,*[dz][a]m ,dzjem,secretely,ad-26-237
word-321,OldChinese,裹,,,,裹,,*s.[k]ˤo[r]ʔ,*s.[k]ˤo[r]ʔ,kwaX,encircle,ad-26-237
word-322,OldChinese,未,,,,未,,*m[ə]t-s,*m[ə]t-s,mj+jH,negative adverb,ad-27-241
,OldChinese,,,,,,,,*m[ə]t-s,mj+jH,negative adverb,ad-27-242
word-323,OldChinese,出,,,,出,,*t-kʰut-s ! ,*t-kʰut-s ! , / tsyhwijH,exit,ad-27-242
word-324,OldChinese,舍,,,,舍,,*[l̥]Ak-s // *l̥Aʔ,*[l̥]Ak-s / *l̥Aʔ,syaeX / // / syaeH,barracks,ad-27-242
word-325,OldChinese,阪,,,,阪,,*pa[n]ʔ,*pa[n]ʔ,pjonX / (baenX),slope,ad-27-243
word-326,OldChinese,濟,,,,濟,,*[ts]ˤ[e]j(ʔ)-s,*[ts]ˤ[e]j(ʔ)-s,tsejH,cross,ad-27-243
word-327,OldChinese,障,,,,障,,*taŋ(-s),*taŋ(-s),tsyangH / tsyang / /,obstacle,ad-27-243
,OldChinese,,,,,,,,*[dz][a]m ,dzjem,secretely,ad-27-244
,OldChinese,,,,,,,,*s.[k]ˤo[r]ʔ,kwaX,encircle,ad-27-244
word-328,OldChinese,莊公,,,,莊公,,*[ts]raŋ,*[ts]raŋ,tsrjang,duke Zhuang (personal name),ad-27-245
word-329,OldChinese,又,,,,又,,*C.qˤoŋ // *[ɢ]ʷəʔ-s,*[ɢ]ʷəʔ-s / *C.qˤoŋ,kuwng / hjuwH,conjunction,ad-27-245
word-330,OldChinese,去,,,,去,,*[k]ʰ(r)ap-s,*[k]ʰ(r)ap-s,khjoH,depart,ad-28-249
word-331,OldChinese,速,,,,速,,*[s]ˤok,*[s]ˤok,suwk,speed,ad-28-249
,OldChinese,,,,,,,,*[dz]u[k]-s,dzjuwH,go,ad-28-250 ad-34-304
word-332,OldChinese,迫,,,,迫,,*Cə.pˤrak,*Cə.pˤrak,paek,urge,ad-28-250
word-333,OldChinese,啟節,,,,啟節,,*kʰˤeʔ / *kʰˤijʔ // *tsˤik,*tsˤik / *kʰˤeʔ / *kʰˤijʔ,khejX / tset,get started ,ad-28-251
word-334,OldChinese,疾,,,,疾,,*[dz]i[t],*[dz]i[t],dzit,urgent,ad-28-251
,OldChinese,,,,,,,,*[ŋ](r)ə,ngi,doubt,ad-28-254 ad-28-254 ad-35-318 ad-42-372
word-335,OldChinese,敗,,,,敗,,*N-pˤra[t]-s,*N-pˤra[t]-s,baejH,defeat,ad-28-254
,OldChinese,,,,,,,,*sijʔ,sijX,die / death,ad-28-254 ad-29-261 ad-31-276 ad-31-278 ad-39-344
word-336,OldChinese,輕,,,,輕,,*[kʰ]eŋ,*[kʰ]eŋ,khjieng,light,ad-29-259
word-337,OldChinese,信,,,,信,,*s-ni[ŋ]-s,*s-ni[ŋ]-s,sinH,trust,ad-29-259
word-338,OldChinese,誅,,,,誅,,*tro,*tro,trju,condemn,ad-29-260
,OldChinese,,,,,,,,*[m]-troŋ,drjowng,heavy,ad-29-260 ad-39-343
word-339,OldChinese,收,,,,收,,*s-kiw,*s-kiw,syuw,receive,ad-29-261
word-340,OldChinese,傷,,,,傷,,*l̥aŋ,*l̥aŋ,syang,injure,ad-29-262
,OldChinese,,,,,,,,*lˤəʔ,dojX,laziness,ad-29-263 ad-35-317 ad-40-349
,OldChinese,,,,,,,,*səm,sim,heart,ad-29-263
word-341,OldChinese,復,,,,復,,*[N]-pruk-s,*[N]-pruk-s,bjuwH,return,ad-29-266
,OldChinese,,,,,,,,*N-pˤra[t]-s,baejH,defeat,ad-29-266 ad-30-269
,OldChinese,,,,,,,,*tro,trju,condemn,ad-30-270
word-342,OldChinese,百姓,,,,百姓,,*pˤrak // *seŋ-s,*seŋ-s / *pˤrak,paek / sjengH,people,ad-30-271
word-343,OldChinese,改,,,,改,,*C.qˤəʔ,*C.qˤəʔ,kojX,change,ad-30-271
,OldChinese,,,,,,,,*nˤəʔ / ! *nˤə(ŋ)ʔ,nojX,conjunction,ad-30-273 ad-35-314 ad-36-321
,OldChinese,,,,,,,,*s.[b]i[t]-s,dzijH,reflexive pronoun,ad-30-273
word-344,OldChinese,過,,,,過,,*kʷˤaj-s,*kʷˤaj-s,kwaH,blame,ad-30-273
word-345,OldChinese,悅,,,,悅,,*lrot,*lrot,ywet,acquiesce,ad-30-273
word-346,OldChinese,萬,,,,萬,,*C.ma[n]-s,*C.ma[n]-s,mjonH,ten thousand,ad-30-273
word-347,OldChinese,杜,,,,杜,,dˤaʔ,dˤaʔ,duX,deny,ad-30-274
word-348,OldChinese,跪,,,,跪,,*[g](r)ojʔ,*[g](r)ojʔ,gjweX / (khjweX),bow,ad-30-274
word-349,OldChinese,火,,,,火,,*[qʷʰ]ˤəjʔ,*[qʷʰ]ˤəjʔ,xwaX,fire,ad-31-275
,OldChinese,,,,,,,,*s-kiw,syuw,receive,ad-31-276 ad-38-342
,OldChinese,,,,,,,,*l̥aŋ,syang,injure / injury,ad-31-277 ad-34-303
word-350,OldChinese,生,,,,生,,*sreŋ,*sreŋ,sraeng,live,ad-31-278
word-351,OldChinese,聚,,,,聚,,*m-tsʰoʔ-s,*m-tsʰoʔ-s,dzjuH,gather,ad-31-279
,OldChinese,,,,,,,,*[g]ur,gjun,all,ad-31-279
,OldChinese,,,,,,,,*s-lə,si,administer,ad-31-279
,OldChinese,,,,,,,,*ni[j]-s,nyijH,two,ad-31-281
,OldChinese,,,,,,,,! *[ts]əʔ / *tsəʔ,tsiX,you,ad-31-281 ad-31-282
word-352,OldChinese,勉,,,,勉,,*mr[o][r]ʔ,*mr[o][r]ʔ,mjenX,force,ad-31-281
,OldChinese,,,,,,,,*kʷˤaj-s,kwaH,pass / fault,ad-31-282 ad-36-322 ad-37-331
word-353,OldChinese,在,,,,在,,*[dz]ˤəʔ,*[dz]ˤəʔ,(tsojH) / dzojX,be present,ad-31-282
,OldChinese,,,,,,,,*[dz]ˤəʔ,(tsojH) / dzojX,be present,ad-31-282
,OldChinese,,,,,,,,*ni[ŋ] / *[C.k]ʷˤraʔ,kwaeX / nyin,I miserable,ad-31-282
,OldChinese,,,,,,,,*[d]ˤek,dek,enemy,ad-31-283
word-354,OldChinese,順,,,,順,,*Cə.lu[n]-s,*Cə.lu[n]-s,zywinH,obey,ad-31-283
word-355,OldChinese,返,,,,返,,*Cə.panʔ,*Cə.panʔ,pjonX,return,ad-32-284
,OldChinese,,,,,,,,*[N]-pruk-s,bjuwH,return,ad-32-285 ad-32-288 ad-33-295 ad-33-298 ad-36-322 ad-36-323 ad-36-325 ad-38-337 ad-38-339 ad-40-350
word-356,OldChinese,詔,,,,詔,,*[d]ewʔ,*[d]ewʔ,tsyewX,summon ? exhort ?,ad-32-286
word-357,OldChinese,貴人,,,,貴人,,*kuj-s // *ni[ŋ],*ni[ŋ] / *kuj-s,nyin / kjw+jH,noble,ad-32-286
word-358,OldChinese,及,,,,及,,*[m-k-]rəp,*[m-k-]rəp,gip,conjunction,ad-32-286
word-359,OldChinese,奇士,,,,奇士,,*[k](r)aj *[m-s-]rəʔ,*[k](r)aj *[m-s-]rəʔ,kje / dzriX,extraordinary man,ad-32-286
,OldChinese,,,,,,,,*[dz]oŋ-s / *[dz]oŋ / *tsoŋ,// / dzjowng / (tshjowng) / dzjowngH / tsjowng,follow,ad-32-287
word-360,OldChinese,撚 ,,,,撚 ,,*nˤənʔ,*nˤənʔ,nenX,examine,ad-32-287
word-361,OldChinese,常,,,,常,,*[d]aŋ,*[d]aŋ,dzyang,norm,ad-32-288
,OldChinese,,,,,,,,*ni[ŋ] / *kuj-s,nyin / kjw+jH,noble,ad-32-289
word-362,OldChinese,處,,,,處,,*t.qʰaʔ,*t.qʰaʔ,tsyhoX,stay,ad-32-289
,OldChinese,,,,,,,,*[dz]ˤen,dzen,front,ad-32-289 ad-34-308 ad-37-331
,OldChinese,,,,,,,,*[ɢ]ʷrəp-s,hwijH,position,ad-32-289
,OldChinese,,,,,,,,*ʔi[t],jit,one  / one,ad-32-289 ad-42-375 ad-43-377 ad-44-389
,OldChinese,,,,,,,,*n̥ˤ[u]p-s,thwojH,retire,ad-33-290
,OldChinese,,,,,,,,*[ts][i][n]-s,tsinH,advance,ad-33-291 ad-37-330
word-363,OldChinese,莫,,,,莫,,*mˤak,*mˤak,mak,none,ad-33-293
word-364,OldChinese,當,,,,當,,*tˤaŋ-s,*tˤaŋ-s,tangH,appropriate,ad-33-293
word-365,OldChinese,班,,,,班,,*pˤan,*pˤan,paen,rang,ad-33-295
word-366,OldChinese,號,,,,號,,*Cə.[g]ˤaw-s,*Cə.[g]ˤaw-s,hawH,issue,ad-33-299
word-367,OldChinese,令,,,,令,,*riŋ // *riŋ-s // *[r]ˤiŋ,*riŋ / *riŋ-s / *[r]ˤiŋ,// / ljeng / leng / (ljen) / ljengH,order ,ad-33-299
,OldChinese,,,,,,,,*[d]a[n]ʔ-s,dzyenH,repair,ad-34-301
word-368,OldChinese,明日,,,,明日,,*mraŋ // *C.nik,*C.nik / *mraŋ,mjaeng / nyit,tomorrow,ad-34-302
word-369,OldChinese,測,,,,測,,*[tsʰ]rək,*[tsʰ]rək,tsrhik,measure,ad-34-303
,OldChinese,,,,,,,,*[m̥](r)ajʔ,xjweX,destruction,ad-34-303
word-370,OldChinese,度,,,,度,,*[d]ˤak,*[d]ˤak,dak,estimate,ad-34-303
,OldChinese,,,,,,,,*pˤan,paen,rang,ad-34-304 ad-36-323
,OldChinese,,,,,,,,*C.nik / *mraŋ,mjaeng / nyit,tomorrow,ad-34-307 ad-36-322
word-371,OldChinese,將,,,,將,,*[ts]aŋ ,*[ts]aŋ ,tsjang,aspectual marker,ad-34-307
word-372,OldChinese,諜,,,,諜,,*lˤep,*lˤep,dep,spy,ad-34-309
word-373,OldChinese,來,,,,來,,*mə.rˤək,*mə.rˤək,loj,come,ad-34-309
word-374,OldChinese,告,,,,告,,*kˤuk,*kˤuk,kowk,tell,ad-34-309
word-375,OldChinese,輦,,,,輦,,*[r][a][n]ʔ,*[r][a][n]ʔ,ljenX,vehicule,ad-35-312
,OldChinese,,,,,,,,*kˤrij,keaj,all,ad-35-312 ad-36-319 ad-38-336 ad-43-376 ad-43-378
word-376,OldChinese,災,,,,災,,*[ts]ˤə,*[ts]ˤə,tsoj,damage,ad-35-312
word-377,OldChinese,早,,,,早,,*Nə.tsˤuʔ,*Nə.tsˤuʔ,tsawX,early,ad-35-313
word-378,OldChinese,白徒,,,,白徒,,*bˤrak // *[d]ˤa,*[d]ˤa / *bˤrak,du / baek,complementary conscripts,ad-35-314
,OldChinese,,,,,,,,*Nə.tsˤuʔ,tsawX,early,ad-35-314
word-379,OldChinese,供,,,,供,,*koŋ,*koŋ,kjowng,provide,ad-35-314
word-380,OldChinese,各,,,,各,,*kˤak,*kˤak,kak,each,ad-35-315
word-381,OldChinese,載,,,,載,,! *[ts]ˤə[ʔ]-s // *[ts]ˤəʔ-s,! *[ts]ˤə[ʔ]-s / *[ts]ˤəʔ-s,tsojH,carry,ad-35-315
,OldChinese,,,,,,,,*n[ə][r]ʔ,nyeX,your,ad-35-315 ad-36-319 ad-36-320
word-382,OldChinese,贓,,,,贓,,*[ts]ˤaŋ,*[ts]ˤaŋ,tsang,spoils,ad-35-315
word-383,OldChinese,敷,,,,敷,,*pʰ(r)a,*pʰ(r)a,phju,distribute,ad-35-316
,OldChinese,,,,,,,,*[m-k-]rəp,gip,conjunction,ad-35-318
word-384,OldChinese,龜,,,,龜,,*[k]ʷrə,*[k]ʷrə,kwij,turtle,ad-36-319
word-385,OldChinese,筮,,,,筮,,*[d][e][t]-s,*[d][e][t]-s,dzyejH,achillea stalks,ad-36-319
,OldChinese,,,,,,,,*C.qˤəʔ,kojX,change,ad-36-320 ad-40-349
word-386,OldChinese,調,,,,調,,*[d]ˤiw,*[d]ˤiw,(trjuw) / dew,tone ,ad-36-320
word-387,OldChinese,鼓,,,,鼓,,*[k]ˤaʔ,*[k]ˤaʔ,kuX,drum,ad-36-320
word-388,OldChinese,屏,,,,屏,,*lrit ,*lrit ,yit,get rid ,ad-36-321
word-389,OldChinese,虜,,,,虜,,*C.rˤaʔ,*C.rˤaʔ,luX,captive,ad-36-321
word-390,OldChinese,甘,,,,甘,,*[k]ˤ[a]m,*[k]ˤ[a]m,kam,easy,ad-36-325
,OldChinese,,,,,,,,*[d]i[n]-s,dzyinH,be careful,ad-37-328
word-391,OldChinese,若,,,,若,,*nak,*nak,nyak / //,modal particle,ad-37-329
word-392,OldChinese,冒,,,,冒,,*mˤuk-s,*mˤuk-s,mawH / (mok),reckless,ad-37-330
,OldChinese,,,,,,,,*m-qʷˤrak,hweak,gain,ad-37-332
word-393,OldChinese,指,,,,指,,*mə.kijʔ,*mə.kijʔ,tsyijX,point ,ad-37-332
word-394,OldChinese,葸,,,,葸,,*səʔ,*səʔ,siX,fear,ad-37-332
word-395,OldChinese,勸,,,,勸,,*C.qʷʰar-s,*C.qʷʰar-s,khjwonH,exhort,ad-37-333
word-396,OldChinese,志,,,,志,,*tək-s,*tək-s,tsyiH,intention,ad-37-333
word-397,OldChinese,甬,,,,甬,,*loŋʔ,*loŋʔ,yowngX,courageous,ad-37-334
word-398,OldChinese,喜,,,,喜,,*qʰ(r)əʔ,*qʰ(r)əʔ,xiX / (xiH),joy,ad-37-334
word-399,OldChinese,慌,,,,慌,,*m̥ˤaŋʔ,*m̥ˤaŋʔ,xwangX,anxious,ad-38-335
word-400,OldChinese,悔,,,,悔,,*m̥ˤəʔ,*m̥ˤəʔ,xwojX,blame,ad-38-335
,OldChinese,,,,,,,,*C.ma[n]-s,mjonH,ten thousand,ad-38-336
word-401,OldChinese,黔,,,,黔,,*[g](r)[o]m,*[g](r)[o]m,gjem,black,ad-38-336
word-402,OldChinese,首,,,,首,,*l̥uʔ-s,*l̥uʔ-s,syuwH,head,ad-38-336
,OldChinese,,,,,,,,*[k]ˤ[a]m,kam,fierce,ad-38-337
word-403,OldChinese,苦,,,,苦,,*kʰˤaʔ,*kʰˤaʔ,(khuH) / khuX,hard,ad-38-339
,OldChinese,,,,,,,,*m-tsʰoʔ-s,dzjuH,gather,ad-38-342
word-404,OldChinese,束,,,,束,,*s-tʰok,*s-tʰok,syowk,tie,ad-38-342
word-405,OldChinese,厚,,,,厚,,*Cə.[g]ˤ(r)oʔ,*Cə.[g]ˤ(r)oʔ,huwX,thick,ad-38-342
word-406,OldChinese,薄,,,,薄,,*[b]ˤak,*[b]ˤak,bak,thin,ad-39-343
,OldChinese,,,,,,,,*[ɢ]ˤeŋ,heng,punish,ad-39-343
word-407,OldChinese,忘,,,,忘,,*maŋ,*maŋ,mjang,forget,ad-39-344
,OldChinese,,,,,,,,*sreŋ,sraeng,life,ad-39-344
word-408,OldChinese,良,,,,良,,*[r]aŋ,*[r]aŋ,ljang,good,ad-39-345
,OldChinese,,,,,,,,*[r]aŋ,ljang,good,ad-39-345
,OldChinese,,,,,,,,*[m-s-]rəʔ,dzriX,dignitary,ad-39-345
word-409,OldChinese,往,,,,往,,*ɢʷaŋʔ,*ɢʷaŋʔ,hjwangX,go,ad-39-345
word-410,OldChinese,耳,,,,耳,,! *C.nəʔ // *nəʔ,*nəʔ / ! *C.nəʔ,nyiX,ear,ad-39-345
,OldChinese,,,,,,,,*tək-s,tsyiH,intention,ad-39-346 ad-42-372
word-411,OldChinese,起,,,,起,,*C.qʰ(r)əʔ,*C.qʰ(r)əʔ,khiX,raise,ad-39-346
word-412,OldChinese,勇,,,,勇,,*loŋʔ,*loŋʔ,yowngX,courageous,ad-39-347
,OldChinese,,,,,,,,*qʰ(r)əʔ,xiX / (xiH),joy,ad-39-347
,OldChinese,,,,,,,,*səʔ,siX,fear,ad-39-348
,OldChinese,,,,,,,,*m̥ˤəʔ,xwojX,blame,ad-39-348
word-413,OldChinese,然後,,,,然後,,*[n]a[n] // *[ɢ]ˤ(r)oʔ,*[n]a[n] / *[ɢ]ˤ(r)oʔ,huwX / nyen,conjunction,ad-40-349
,OldChinese,,,,,,,,*kʰˤaʔ,(khuH) / khuX,hard,ad-40-350
word-414,OldChinese,攻,,,,攻,,*kˤoŋ,*kˤoŋ,kuwng,assault,ad-40-352
word-415,OldChinese,寶,,,,寶,,*pˤuʔ,*pˤuʔ,xwaH,good,ad-40-354
